latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
49.685,18.664,302.4,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,284.6,0,N
49.681,18.664,312.3,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,284.2,0,N
48.974,25.152,296.2,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,284.2,0,N
48.748,26.605,302.4,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,291.3,0,N
47.981,29.686,297.1,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,286.3,0,N
47.971,29.682,298.4,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,286.2,0,N
47.527,31.098,301.9,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,285.5,0,N
47.523,31.096,313.7,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,285.2,0,N
47.522,31.102,311.6,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,285.2,0,N
47.785,29.016,303.6,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,286.5,0,N
47.788,28.956,310.7,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,288.1,0,N
47.171,31.761,306.6,0.5,0.4,2016-07-12,0015,N,nominal,1.0NRT,290.3,0,N
47.594,28.99,333,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,287.4,0,N
47.595,28.985,297.6,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,285.3,0,N
47.59,28.989,307,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,285.3,0,N
48.593,20.84,295.6,0.5,0.4,2016-07-12,0015,N,nominal,1.0NRT,281.7,0,N
44.127,42.013,309.2,0.5,0.7,2016-07-12,0015,N,nominal,1.0NRT,282,0,N
44.127,42.013,309.1,0.5,0.7,2016-07-12,0015,N,nominal,1.0NRT,282.4,0,N
46.967,30.597,305,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,286.7,0,N
46.964,30.595,313.2,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,287.2,0,N
46.96,30.594,311.4,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,286.6,0,N
46.693,31.823,298.9,0.5,0.4,2016-07-12,0015,N,nominal,1.0NRT,287.5,0,N
46.69,31.822,304.3,0.5,0.4,2016-07-12,0015,N,nominal,1.0NRT,287.6,0,N
46.288,33.663,298.8,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,287.1,0,N
46.283,33.666,322.9,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,287.4,0,N
46.286,33.666,305.4,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,287.1,0,N
46.283,33.664,325.1,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,287.5,0,N
46.279,33.662,306.8,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,287.2,0,N
46.278,33.667,303.6,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,287.2,0,N
44.728,39.065,311.9,0.4,0.6,2016-07-12,0015,N,nominal,1.0NRT,285.4,0,N
44.727,39.07,298.2,0.4,0.6,2016-07-12,0015,N,nominal,1.0NRT,285.1,0,N
47.489,26.007,306.1,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,286.6,0,N
44.887,38.116,301.5,0.3,0.6,2016-07-12,0015,N,nominal,1.0NRT,286.5,0,N
44.886,38.12,300.5,0.3,0.6,2016-07-12,0015,N,nominal,1.0NRT,287.1,0,N
47.417,25.914,301.9,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,286.1,0,N
44.839,37.674,300.4,0.6,0.6,2016-07-12,0015,N,nominal,1.0NRT,286.8,0,N
44.839,37.677,303.1,0.6,0.6,2016-07-12,0015,N,nominal,1.0NRT,287.5,0,N
44.764,37.734,299.7,0.3,0.6,2016-07-12,0015,N,nominal,1.0NRT,288.6,0,N
44.738,37.808,316.9,0.3,0.6,2016-07-12,0015,N,nominal,1.0NRT,292.1,0,N
44.733,37.807,321.2,0.3,0.6,2016-07-12,0015,N,nominal,1.0NRT,290.6,0,N
46.469,29.056,300.8,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,285.6,0,N
46.465,29.06,297.4,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,285.2,0,N
46.243,30.162,324.4,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,289.3,0,N
46.988,25.801,298.7,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,287.7,0,N
46.119,30.116,325.4,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,287.5,0,N
46.118,30.122,328.5,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,288,0,N
46.116,30.115,345.1,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,288.8,0,N
46.115,30.121,325.5,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,288.8,0,N
46.112,30.114,297.4,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,285.8,0,N
46.111,30.119,300.2,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,286.1,0,N
46.165,29.74,296.9,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,286.4,0,N
46.179,29.223,297.3,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,286.4,0,N
45.781,29.47,301.3,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,287.4,0,N
45.78,29.475,300.1,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,289,0,N
45.669,29.775,300.2,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,287.3,0,N
45.668,29.78,308.6,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,288.2,0,N
45.665,29.773,299.2,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,287.4,0,N
45.664,29.779,298.8,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,287.5,0,N
45.931,28.239,320.2,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,287.9,0,N
45.93,28.237,301.9,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,286.8,0,N
45.929,28.242,312,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,287.8,0,N
44.774,33.862,298.4,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,287.4,0,N
45.815,28.745,306.6,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,287.3,0,N
45.839,28.453,303.2,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,288.6,0,N
45.836,28.452,298.9,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,288.4,0,N
45.607,29.378,306.9,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,286.8,0,N
45.892,27.495,301,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,288.3,0,N
45.889,27.494,298.5,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,288.3,0,N
45.577,29.168,299.4,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,287.4,0,N
46.944,18.937,305.9,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,293.5,0,N
46.939,18.947,310.9,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,290.6,0,N
45.854,27.456,300.2,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,288.8,0,N
46.936,18.95,313.4,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,290.1,0,N
45.537,28.805,315.6,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,287.4,0,N
45.494,29.039,308.6,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,288.5,0,N
45.491,29.038,335.6,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,289.6,0,N
45.526,28.806,303.8,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,286.9,0,N
45.461,29.061,298.9,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,288.2,0,N
45.459,29.071,303.1,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,288,0,N
45.456,29.07,303.7,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,286.5,0,N
45.45,29.062,303.8,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,287.6,0,N
45.449,29.06,307.1,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,287,0,N
45.446,28.764,296.7,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,286.6,0,N
45.443,28.758,306.3,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,286.9,0,N
45.442,28.763,302.8,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,286,0,N
45.441,28.768,313.5,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,287,0,N
45.44,28.756,308.4,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,286.6,0,N
45.951,25.279,313.7,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,289.1,0,N
45.449,27.973,313.5,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,292.4,0,N
45.419,27.977,326,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,291.6,0,N
45.421,27.967,299.9,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,289.5,0,N
45.292,25.11,301.5,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,288.1,0,N
45.124,25.418,308.6,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,289.4,0,N
44.24,28.309,302.7,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,290.4,0,N
45.173,21.38,304.2,0.5,0.4,2016-07-12,0015,N,nominal,1.0NRT,291.5,0,N
45.618,13.781,308.2,0.3,0.6,2016-07-12,0015,N,nominal,1.0NRT,291.8,0,N
44.308,25.052,299.5,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,288.8,0,N
44.465,23.84,337.6,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,290.6,0,N
45.459,10.456,319,0.5,0.7,2016-07-12,0015,N,nominal,1.0NRT,289.5,0,N
44.048,26.123,306.7,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,287.4,0,N
44.044,26.122,316.4,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,288,0,N
44.042,26.116,309.7,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,288.2,0,N
44.27,24.627,327.8,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,289.3,0,N
45.429,10.998,309.1,0.5,0.7,2016-07-12,0015,N,nominal,1.0NRT,289.3,0,N
44.271,24.622,299.7,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,289,0,N
44.269,24.632,303.1,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,288.4,0,N
43.82,27.368,331.7,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,286.5,0,N
44.031,26.118,299.2,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,287.5,0,N
44.121,25.167,306.9,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,288,0,N
44.117,25.171,301.5,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,287.6,0,N
43.974,26.008,302.8,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,287.6,0,N
43.974,26.013,299.6,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,287.3,0,N
43.97,26.012,309.2,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,287.5,0,N
44.353,23.234,309.2,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,289.7,0,N
44.35,23.228,312.7,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,290,0,N
44.349,23.233,314.2,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,289.1,0,N
44.605,20.971,309,0.5,0.4,2016-07-12,0015,N,nominal,1.0NRT,292.9,0,N
44.6,20.976,315.1,0.5,0.4,2016-07-12,0015,N,nominal,1.0NRT,292.7,0,N
44.597,20.976,306,0.5,0.4,2016-07-12,0015,N,nominal,1.0NRT,290.5,0,N
44.598,20.975,308.3,0.5,0.4,2016-07-12,0015,N,nominal,1.0NRT,290.9,0,N
44.117,24.474,315.2,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,289.5,0,N
44.116,24.479,303.2,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,289.2,0,N
44.332,22.871,304.6,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,289.5,0,N
44.012,24.943,314.7,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,289.4,0,N
44.007,24.882,304.4,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,288,0,N
